회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
IBKS제19호스팩,426550,금융 지원 서비스업,기업인수 및 합병,2022-08-26,12월,임세광,http://www.ibks.com,서울특별시
신영스팩8호,430220,금융 지원 서비스업,기업인수,2022-08-26,12월,변 해 봉,,서울특별시
대성하이텍,129920,특수 목적용 기계 제조업,"정밀부품, 스위스턴 자동선반, 컴팩트 머시닝센터",2022-08-22,12월,"최우각, 최호형",http:///www.topdsht.com/,대구광역시
에이치와이티씨,148930,기타 금속 가공제품 제조업,2차전지 장비 초정밀 부품,2022-08-09,12월,조동석,http://www.hyseoul.com,경기도
새빗켐,107600,기타 화학제품 제조업,"폐전지재활용소재, 폐산재활용",2022-08-04,12월,박민규,http://www.sebitchem.com,경상북도
유안타제9호스팩,430700,금융 지원 서비스업,기업인수목적회사,2022-08-04,12월,현승철,,서울특별시
신한제10호스팩,418210,금융 지원 서비스업,금융서비스(기업인수목적 회사),2022-07-29,12월,이동환,,서울특별시
아이씨에이치,368600,그외 기타 제품 제조업,스마트기기용 필름형 안테나,2022-07-29,12월,김영훈,http://www.ch-ich.com,경기도
성일하이텍,365340,기초 화학물질 제조업,"코발트, 니켈, 리튬 등",2022-07-28,12월,이강명,http://www.sungeelht.com/,전라북도
에이프릴바이오,397030,자연과학 및 공학 연구개발업,항체의약품 및 재조합 단백질 의약품,2022-07-28,12월,차상훈,http://www.aprilbio.com/,강원도
IBKS제18호스팩,424760,금융 지원 서비스업,기업인수 및 합병,2022-07-22,12월,이진욱,http://ibks.com,서울특별시
루닛,328130,소프트웨어 개발 및 공급업,Lunit INSIGHT,2022-07-21,12월,서범석,http://www.lunit.io,서울특별시
HPSP,403870,특수 목적용 기계 제조업,고압 수소 어닐링 장비,2022-07-15,12월,김용운,http://www.thehpsp.com/,경기도
대신밸런스제12호스팩,426670,금융 지원 서비스업,금융 지원 서비스업,2022-07-14,12월,이문수,,
영창케미칼,112290,기타 화학제품 제조업,반도체 및 디스플레이용 화학소재,2022-07-14,12월,"이성일, 이승훈",http://www.ycchem.co.kr/,경상북도
코난테크놀로지,402030,소프트웨어 개발 및 공급업,"소프트웨어(인공지능,빅데이터,자연어처리,검색엔진,대화형챗봇,음성합성,음성인식) 연구개발 및 공급, 정보통신서비스",2022-07-07,12월,김영섬,http://konantech.com,서울특별시
넥스트칩,396270,반도체 제조업,"차량 및 자율주행차용 비메모리 반도체(ISP, AHD, ADAS/AD)",2022-07-01,12월,김경수,http://www.nextchip.com/,경기도
삼성스팩6호,425290,금융 지원 서비스업,기업인수합병,2022-06-30,12월,이주혁,,서울특별시
엔에이치스팩23호,422040,금융 지원 서비스업,금융 지원 서비스,2022-06-28,12월,조규훈,,서울특별시
교보12호스팩,421800,금융 지원 서비스업,기업인수 및 합병,2022-06-24,12월,조광재,,서울특별시
레이저쎌,412350,특수 목적용 기계 제조업,"에어리어 레이저솔루션, LSR, LCB, LSB, BSOM 등",2022-06-24,12월,최재준,http://www.laserssel.com,충청남도
보로노이,310210,기초 의약물질 및 생물학적 제제 제조업,표적치료제,2022-06-24,12월,김현태,http://voronoi.io,인천광역시
위니아에이드,377460,기타 운송관련 서비스업,"전자제품 소매, 물류주선, 서비스대행",2022-06-23,12월,백성식,http://www.winiaaid.com,광주광역시
케이비제21호스팩,424140,금융 지원 서비스업,기업인수목적회사,2022-06-23,12월,이경준,,서울특별시
비플라이소프트,148780,소프트웨어 개발 및 공급업,"아이서퍼, 위고몬 등",2022-06-20,12월,임경환,http://www.bflysoft.co.kr,서울특별시
범한퓨얼셀,382900,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","잠수함용 연료전지모듈, 건물용 연료전지 시스템, 수소충전소 구축",2022-06-17,12월,정영식,,경상남도
청담글로벌,362320,생활용품 도매업,글로벌 화장품 유통,2022-06-03,12월,최석주,http://www.chungdamgroup.com/,인천광역시
하나금융22호스팩,418170,금융 지원 서비스업,기업인수합병,2022-05-26,12월,전재천,,서울특별시
가온칩스,399720,반도체 제조업,설계 솔루션 및 주문형 반도체,2022-05-20,12월,정규동,http://www.gaonchips.com,경기도
대명에너지,389260,건물 건설업,신재생에너지 발전 공사 및 용역,2022-05-16,12월,서종현,http://www.daemyoung-eng.com,서울특별시
상상인제3호스팩,415580,금융 지원 서비스업,기업인수 및 합병,2022-04-29,12월,김수한,,서울특별시
신영스팩7호,419270,금융 지원 서비스업,기업인수,2022-04-28,12월,김태운,,서울특별시
포바이포,389140,"영화, 비디오물, 방송프로그램 제작 및 배급업",광고영화 및 비디오물 제작업,2022-04-28,12월,윤준호,http://4by4inc.com,서울특별시
신한제9호스팩,405640,금융 지원 서비스업,SPAC 합병,2022-04-27,12월,허찬종,,서울특별시
미래에셋비전스팩1호,412930,금융 지원 서비스업,기업인수합병,2022-04-21,12월,김필수,,서울특별시
키움제6호스팩,413600,금융 지원 서비스업,기업 인수합병,2022-04-07,12월,신가형,,서울특별시
지투파워,388050,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수·배전반, 태양광발전시스템, 인버터(PCS)",2022-04-01,12월,"김영일, 장철수",http://www.g2p.co.kr,경기도
유진스팩8호,413630,금융 지원 서비스업,기업인수합병,2022-03-31,12월,남정훈,,서울특별시
세아메카닉스,396300,기타 금속 가공제품 제조업,"TV스탠드, 전기 수소차 부품 등",2022-03-24,12월,조창현,http://www.seamechanics.com,경상북도
공구우먼,366030,"섬유, 의복, 신발 및 가죽제품 소매업",플러스사이즈 여성용 의류 및 잡화,2022-03-23,12월,김주영,http://www.09women.net,경기도
유일로보틱스,388720,특수 목적용 기계 제조업,"취출로봇, 사출장비 및 자동화시스템",2022-03-18,12월,김동헌,http://www.yuilrobotics.com,인천광역시
모아데이타,288980,소프트웨어 개발 및 공급업,인공지능 기반 ICT 시스템 이상탐지 및 예측 솔루션,2022-03-10,12월,한상진,http://www.moadata.co.kr,경기도
에스케이증권7호스팩,408920,금융 지원 서비스업,기업인수합병,2022-03-07,12월,권치완,,서울특별시
노을,376930,의료용 기기 제조업,융복합 체외진단 플랫폼,2022-03-03,12월,임찬양(단독 대표이사),noul.kr,경기도
비씨엔씨,146320,반도체 제조업,반도체용 합성쿼츠 포커스링,2022-03-03,12월,김돈한,http://www.bcnc.co.kr,경기도
풍원정밀,371950,전자부품 제조업,OLED 증착용 Metal Mask,2022-02-28,12월,유명훈,http://poongwon.com,경기도
스톤브릿지벤처스,330730,기타 금융업,"창업투자, 사모투자",2022-02-25,12월,유승운,http://stonebridgeventures.vc,서울특별시
하나금융21호스팩,406760,금융 지원 서비스업,기업인수합병,2022-02-25,12월,이병찬,,서울특별시
브이씨,365900,운동 및 경기용구 제조업,골프용 거리측정기,2022-02-24,12월,김준오,http://www.voicecaddie.co.kr,서울특별시
퓨런티어,370090,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","전장카메라모듈장비, 모바일카메라모듈장비, PC및 광원",2022-02-23,12월,배상신,http://www.furonteer.com,경기도
바이오에프디엔씨,251120,기초 의약물질 및 생물학적 제제 제조업,식물세포 유래 유효물질 및 약리물질,2022-02-21,12월,"모상현, 정대현",http://www.biofdnc.com,인천광역시
한국제10호스팩,409570,금융 지원 서비스업,기업인수합병,2022-02-21,12월,김태훈,,서울특별시
IBKS제17호스팩,405350,금융 지원 서비스업,금융 지원 서비스,2022-02-18,12월,이경준,,서울특별시
인카금융서비스,211050,보험 및 연금관련 서비스업,보험 판매,2022-02-16,12월,최병채,http://www.incar.co.kr,서울특별시
나래나노텍,137080,특수 목적용 기계 제조업,"디스플레이 장비 (포토, 코팅, 모듈 장비)",2022-02-08,12월,정좌진,http://www.naraenano.co.kr,경기도
아셈스,136410,플라스틱제품 제조업,핫멜트 접착 필름,2022-02-07,12월,장지상,http://assems.com,부산광역시
스코넥,276040,소프트웨어 개발 및 공급업,"XR 교육/훈련 시스템, VR 게임 콘텐츠 등",2022-02-04,12월,황대실,http://www.skonec.com/,서울특별시
이지트로닉스,377330,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전력변환장치,2022-02-04,12월,강찬호,,경기도
애드바이오텍,179530,의약품 제조업,"동물용약품,영양제,단미사료(네오폐녹스),보조사료 제조,도매/식품첨가물,화장품 도소매,무역",2022-01-24,12월,정홍걸,,강원도
케이옥션,102370,상품 중개업,미술품 경매 및 판매,2022-01-24,12월,도현순,http://www.k-auction.com/,서울특별시
디비금융스팩10호,404950,기타 금융업,인수목적,2022-01-20,12월,정근호,,서울특별시
오토앤,353590,자동차 부품 및 내장품 판매업,자동차 지급품 및 애프터마켓 제품,2022-01-20,12월,최찬욱,http://www.auton.kr,경기도
래몽래인,200350,"영화, 비디오물, 방송프로그램 제작 및 배급업",드라마 제작,2021-12-30,12월,"김동래, 박지복",http://reamongraein.co.kr,서울특별시
하나금융20호스팩,400560,금융 지원 서비스업,금융지원 서비스업,2021-12-27,12월,박태한,,서울특별시
엔에이치스팩22호,396770,금융 지원 서비스업,금융 지원 서비스,2021-12-24,12월,김성준,,서울특별시
교보11호스팩,397880,금융 지원 서비스업,기업인수 및 합병,2021-12-20,12월,이규연,,서울특별시
하이제7호스팩,400840,금융 지원 서비스업,기업인수합병,2021-12-20,12월,김동찬,,서울특별시
다올인베스트먼트,298870,기타 금융업,"창업투자금융, 벤처기업투자 등",2021-12-16,12월,"신진호, 김창규",http://www.daolinvestment.com,경기도
툴젠,199800,자연과학 및 공학 연구개발업,유전자교정 플랫폼 관련 제품,2021-12-10,12월,"김영호, 이병화",http://toolgen.com,서울특별시
대신밸런스제11호스팩,397500,금융 지원 서비스업,금융 지원 서비스업,2021-12-02,12월,정재중,,서울특별시
마인즈랩,377480,소프트웨어 개발 및 공급업,종합 인공지능 엔진 및 플랫폼,2021-11-23,12월,유태준,maum.ai,경기도
알비더블유,361570,오디오물 출판 및 원판 녹음업,음반 및 음원 등(콘텐츠),2021-11-22,12월,"김진우, 김도훈",http://www.rbbridge.com,서울특별시
바이옵트로,222160,특수 목적용 기계 제조업,인쇄회로기판(PCB) 전기검사기,2021-11-18,03월,김완수,http://www.bioptro.co.kr/,경기도
트윔,290090,소프트웨어 개발 및 공급업,AI 기반 스마트팩토리 검사 소프트웨어 및 설비,2021-11-17,12월,"정한섭,정해주(각자 대표이사)",http://www.twim21.com,경기도
아이티아이즈,372800,소프트웨어 개발 및 공급업,"디지털금융솔루션 제공 및 AI, Big Data 서비스, 클라우드 통합 플랫폼 (GURMWI)",2021-11-11,12월,이성남,http://www.iteyes.co.kr/,서울특별시
지오엘리먼트,311320,전자부품 제조업,"센서, 캐니스터",2021-11-11,12월,신현국,http://www.goelement.co.kr,경기도
디어유,376300,소프트웨어 개발 및 공급업,"모바일 어플리케이션(DearU bubble, Lysn)",2021-11-10,12월,안종오,http://www.dear-u.co,서울특별시
비트나인,357880,소프트웨어 개발 및 공급업,"그래프데이터베이스, 그래프분석서비스",2021-11-10,12월,강철순,http://bitnine.net,서울특별시
지니너스,389030,자연과학 및 공학 연구개발업,"NGS기반 조직생검 암유전체 동반진단(CancerSCAN), 액체생검 암유전체 동반진단(LiquidSCAN), 단일세포분석(Celinus) 등",2021-11-08,12월,박웅양,http://kr-geninus.com,서울특별시
피코그램,376180,그외 기타 제품 제조업,"정수기, 정수기 필터",2021-11-03,12월,최석림,http://www.picogram.com,인천광역시
엔켐,348370,기초 화학물질 제조업,2차전지 전해액,2021-11-01,12월,오정강,http://www.enchem.net,충청북도
리파인,377450,기타 정보 서비스업,권리조사,2021-10-29,12월,이창섭,http://www.refine.co.kr,서울특별시
지앤비에스엔지니어링,382800,특수 목적용 기계 제조업,"스크러버, 트랩, 백연제거장치 등",2021-10-29,12월,박상순,http://www.gnbseng.com,경기도
아이패밀리에스씨,114840,기타 화학제품 제조업,"색조화장품 브랜드 `롬앤(Rom&nd)', IT기반 웨딩서비스 브랜드 `아이웨딩`",2021-10-28,12월,"김태욱, 김성현",http://www.ifamily.co.kr,서울특별시
차백신연구소,261780,자연과학 및 공학 연구개발업,백신 및 면역증강제 등,2021-10-22,12월,염정선,http://www.chavaccine.com,경기도
지아이텍,382480,특수 목적용 기계 제조업,"SLOT DIE, SLIT NOZZLE, REPAIR, 기타",2021-10-21,12월,이인영,http://gitec.kr,충청남도
코닉오토메이션,391710,소프트웨어 개발 및 공급업,금융 지원 서비스(SPAC),2021-10-15,12월,"김혁, 나화성 (각자대표)",,경기도
씨유테크,376290,전자부품 제조업,"휴대폰, 전장 등 실장부품",2021-10-08,12월,백영현,http://www.cutech.co.kr,경기도
아스플로,159010,일반 목적용 기계 제조업,"강관, 피팅, 밸브류 등",2021-10-07,12월,강두홍,http://www.asflow.com,경기도
원준,382840,특수 목적용 기계 제조업,2차전지용 열처리 장비,2021-10-07,12월,이성제,http://www.onejoon.co.kr/,경기도
하나금융19호스팩,388220,금융 지원 서비스업,기업인수목적,2021-10-07,12월,홍지헌,,서울특별시
엔에이치스팩20호,391060,금융 지원 서비스업,기업 인수합병,2021-10-05,12월,박민식,,서울특별시
실리콘투,257720,상품 종합 도매업,화장품 유통,2021-09-29,12월,김성운,http://www.siliconii.com,경기도
에스앤디,260970,기타 식품 제조업,"일반기능식품소재, 건강기능식품소재",2021-09-29,12월,여경목,http://www.isnd.co.kr,충청북도
프롬바이오,377220,기타 식품 제조업,개별인정형 건강기능식품,2021-09-28,12월,심태진,http://frombio-company.co.kr,경기도
바이오플러스,099430,기초 의약물질 및 생물학적 제제 제조업,"생체재료 개질 기술을 사용한 히알루론산(HA) 기반 더말필러, 유착방지제 및 그 응용제품",2021-09-27,12월,정현규,http://bioplus.co.kr,경기도
신한제8호스팩,393360,금융 지원 서비스업,SPAC합병,2021-09-27,12월,김종환,,서울특별시
대신밸런스제10호스팩,387310,금융 지원 서비스업,금융 지원 서비스업,2021-09-17,12월,이현식,,서울특별시
유진스팩7호,388800,금융 지원 서비스업,합병,2021-09-13,12월,오선영,,서울특별시
와이엠텍,273640,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",계전기(EV Relay),2021-09-10,12월,김홍기,http://www.goodymt.com,충청북도
에이비온,203400,자연과학 및 공학 연구개발업,"표적 항암제, 바이오 베터 신약",2021-09-08,12월,신영기,http://www.abionbio.com,서울특별시
IBKS제16호스팩,388790,금융 지원 서비스업,금융 지원 서비스,2021-09-03,12월,전구택,http://www.ibks.com,서울특별시
바이젠셀,308080,자연과학 및 공학 연구개발업,"면역세포치료제 (면역항암제, 면역조절치료제 등)",2021-08-25,12월,김태규,http://www.vigencell.com/kr/index.asp,서울특별시
브레인즈컴퍼니,099390,소프트웨어 개발 및 공급업,IT 인프라 통합관리 솔루션,2021-08-19,12월,강선근,http://www.brainz.co.kr,서울특별시
딥노이드,315640,소프트웨어 개발 및 공급업,"의료 인공지능플랫폼, 인공지능 임상의사결정 시스템",2021-08-17,12월,최우식,http://www.deepnoid.com,서울특별시
엠로,058970,소프트웨어 개발 및 공급업,"SCM구축 및 용역, 라이선스, 기술료, 클라우드사용료",2021-08-13,12월,송재민,http://www.emro.co.kr,서울특별시
플래티어,367000,소프트웨어 개발 및 공급업,E-Commerce Platform 구축,2021-08-12,12월,이상훈,http://www.plateer.com/,서울특별시
원티드랩,376980,소프트웨어 개발 및 공급업,채용 플랫폼,2021-08-11,12월,이복기,http://www.wanted.co.kr,서울특별시
HK이노엔,195940,의약품 제조업,"전문의약품, 숙취해소음료",2021-08-09,12월,곽달원,http://www.inno-n.com,충청북도
한화플러스제2호스팩,386580,금융 지원 서비스업,-,2021-08-05,12월,이동헌,http://hanwha-plus-no2spac.com,서울특별시
에브리봇,270660,가정용 기기 제조업,"물걸레 로봇청소기, 흡입형 로봇청소기",2021-07-28,12월,정우철,,경기도
맥스트,377030,소프트웨어 개발 및 공급업,AR 개발 플랫폼/AR솔루션,2021-07-27,12월,박재완,http://www.maxst.com,서울특별시
큐라클,365270,자연과학 및 공학 연구개발업,혈관질환치료제 등,2021-07-22,12월,유재현,http://www.curacle.com,서울특별시
오비고,352910,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",스마트카 소프트웨어 플랫폼,2021-07-13,12월,황도연,http://obigo.com/,경기도
아모센스,357580,전자부품 제조업,무선충전 차폐시트,2021-06-25,12월,김인응,http://www.amosense.co.kr,충청남도
이노뎁,303530,소프트웨어 개발 및 공급업,영상인식 및 데이터플랫폼 솔루션,2021-06-18,12월,이성진,http://innodep.co.kr,서울특별시
라온테크,232680,특수 목적용 기계 제조업,반도체 및 FPD용 로봇시스템,2021-06-17,12월,김원경,http://www.raonrobot.com/,경기도
삼성머스트스팩5호,380320,금융 지원 서비스업,기업인수합병,2021-06-17,12월,임호원,,서울특별시
엘비루셈,376190,반도체 제조업,디스플레이 구동 반도체(Driver IC),2021-06-11,12월,신현창,http://www.lblusem.com,경상북도
에이디엠코리아,187660,자연과학 및 공학 연구개발업,임상 CRO 서비스,2021-06-03,12월,임종언,http://www.admkorea.co.kr,서울특별시
에코프로에이치엔,383310,기타 화학제품 제조업,환경오염 방지 관련 소재 및 설비,2021-05-28,12월,김종섭,http://www.ecoprohn.co.kr,충청북도
제주맥주,276730,알코올음료 제조업,맥주,2021-05-26,12월,문혁기,http://www.jejubeer.co.kr,제주특별자치도
진시스템,363250,의료용 기기 제조업,분자진단기반 플랫폼 개발 및 제조·판매,2021-05-26,12월,서유진,http://www.genesystem.co.kr,대전광역시
삼성스팩4호,377630,금융 지원 서비스업,기업인수합병,2021-05-21,12월,김영도,,서울특별시
삼영에스앤씨,361670,전자부품 제조업,"칩형 온습도센서,상대습도센서,미세먼지센서, 공기질 통합센서 노드 및 트랜스미터",2021-05-21,12월,박상익,http://samyoungsnc.com,경기도
샘씨엔에스,252990,전자부품 제조업,세라믹 STF(다층 세라믹 기판),2021-05-20,12월,"최유진, 김헌태",http://www.semcns.com,경기도
씨앤씨인터내셔널,352480,기타 화학제품 제조업,색조 화장품,2021-05-17,12월,배은철,http://www.cnccosmetic.com,경기도
에이치피오,357230,기타 식품 제조업,"건강기능식품(유산균, 비타민 등)",2021-05-14,12월,"이현용,임성빈,오승찬 (각자대표)",http://denps.com/kor/,서울특별시
하이제6호스팩,377400,금융 지원 서비스업,기업인수합병,2021-05-10,12월,정종석,,서울특별시
쿠콘,294570,소프트웨어 개발 및 공급업,"페이먼트서비스(65.2%), 데이터서비스(29.1%) 등",2021-04-28,12월,김종현,http://www.coocon.net,서울특별시
이삭엔지니어링,351330,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",공장자동화 설비제어,2021-04-21,12월,"김창수, 김범수",http://isaac-eng.com,경기도
해성티피씨,059270,기타 금속 가공제품 제조업,기어 및 동력전달장치,2021-04-21,12월,"이건복,이정훈(각자 대표)",http://www.haisung.co.kr,인천광역시
유진스팩6호,373340,금융 지원 서비스업,합병,2021-04-08,12월,이상두,,서울특별시
유안타제8호스팩,367480,금융 지원 서비스업,금융지원 서비스,2021-04-05,12월,정동훈,,서울특별시
엔시스,333620,기타 전기장비 제조업,2차전지 머신비전 검사장비,2021-04-01,12월,진기수,http://www.n-sys.co.kr/,충청남도
자이언트스텝,289220,"영화, 비디오물, 방송프로그램 제작 및 배급업","광고VFX, 영상VFX 및 리얼타임 콘텐츠 제작",2021-03-24,12월,"하승봉, 이지철",http://www.giantstep.co.kr,서울특별시
제노코,361390,통신 및 방송 장비 제조업,"위성탑재체, 위성운용국, 항공전자 등",2021-03-24,12월,유태삼,http://www.genohco.com,경기도
라이프시맨틱스,347700,소프트웨어 개발 및 공급업,"소프트웨어(개인건강기록 플랫폼,진료기록번역플랫폼,질병분류기호 검색) 개발,공급/의료기기 도매/자문,컨설팅/전자상거래,통신판매",2021-03-23,12월,송승재,http://lifesemantics.kr,서울특별시
바이오다인,314930,의료용 기기 제조업,액상세포검사 장비 및 소모품,2021-03-17,12월,임욱빈,http://www.biodyne.asia/,서울특별시
DB금융스팩9호,367360,금융 지원 서비스업,기업인수 및 합병,2021-03-16,12월,김창희,,서울특별시
네오이뮨텍,950220,자연과학 및 공학 연구개발업,면역항암제,2021-03-16,12월,양세환,http://neoimmunetech.co.kr,미국
싸이버원,356890,소프트웨어 개발 및 공급업,보안관제 및 보안컨설팅 등,2021-03-11,12월,육동현,http://www.cyberone.kr/,서울특별시
프레스티지바이오로직스,334970,의약품 제조업,바이오시밀러 제조,2021-03-11,12월,현덕훈,http://www.prestigebiologics.com,충청북도
나노씨엠에스,247660,전자부품 제조업,"근적외선 흡수/반사 안료, 자외선 유기형광 안료, 적외선 발광체",2021-03-09,12월,김시석,http://www.nanocms.co.kr,충청남도
하나머스트7호스팩,372290,금융 지원 서비스업,기업인수목적,2021-03-05,12월,곽제훈,,서울특별시
뷰노,338220,소프트웨어 개발 및 공급업,"뷰노메드 음성솔루션, 뷰노메드 영상솔루션, 기타 솔루션 등",2021-02-26,12월,이예하,http://www.vuno.co,서울특별시
하인크코리아,373200,그외 기타 제품 제조업,모바일 IT응용제품 외,2021-02-26,12월,길상필,http://haainc.co.kr,서울특별시
유일에너테크,340930,특수 목적용 기계 제조업,2차전지 제조장비,2021-02-25,12월,정연길,http://www.youilet.com,경기도
씨이랩,189330,소프트웨어 개발 및 공급업,빅데이터플랫폼,2021-02-24,12월,이우영,http://www.xiilab.com,서울특별시
오로스테크놀로지,322310,특수 목적용 기계 제조업,반도체 Overlay 계측 장비,2021-02-24,12월,이준우,http://www.aurostech.com,경기도
피엔에이치테크,239890,기초 화학물질 제조업,OLED 소재,2021-02-16,12월,현서용,http://www.phtech.co.kr,경기도
모비데이즈,363260,광고업,기업인수합병,2021-02-10,12월,유범령,,서울특별시
아이퀘스트,262840,소프트웨어 개발 및 공급업,"패키지 ERP, 구축형 ERP 등",2021-02-05,12월,김순모,http://www.iquest.co.kr,서울특별시
신한제7호스팩,366330,금융 지원 서비스업,SPAC,2021-02-04,12월,김병훈,,서울특별시
레인보우로보틱스,277810,특수 목적용 기계 제조업,"협동로봇, 천문마운트시스템, 이족보행로봇 등",2021-02-03,12월,이정호,http://www.rainbow-robotics.com/new/index_ko.php,대전광역시
와이더플래닛,321820,소프트웨어 개발 및 공급업,빅데이터/인공지능 마케팅플랫폼 및 데이터플랫폼,2021-02-03,12월,구교식,http://www.widerplanet.com,서울특별시
핑거,163730,소프트웨어 개발 및 공급업,"스마트 금융 플랫폼, 핀테크 금융 솔루션",2021-01-29,12월,박민수,http://www.finger.co.kr,서울특별시
모비릭스,348030,소프트웨어 개발 및 공급업,모바일 게임 개발 및 퍼블리싱,2021-01-28,12월,임중수,http://www.mobirix.com,서울특별시
씨앤투스성진,352700,기타 섬유제품 제조업,"에어필터, 산업용 및 보건용 마스크",2021-01-28,12월,하춘욱,http://cntus-sungjin.com,부산광역시
선진뷰티사이언스,086710,기타 화학제품 제조업,화장품 원료,2021-01-27,12월,이성호,http://sunjinbs.co.kr,서울특별시
엔비티,236810,광고업,모바일 포인트 광고 플랫폼,2021-01-21,12월,박수근,http://nbt.com/,서울특별시
파이버프로,368770,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",광섬유 관성센서 및 관성 측정장치,2021-01-21,12월,고연완,http://www.fiberpro.com,대전광역시
유안타제7호스팩,367460,금융 지원 서비스업,금융지원 서비스,2020-12-28,12월,임율표,,서울특별시
블리츠웨이,369370,"인형,장난감 및 오락용품 제조업",기업 인수 및 합병,2020-12-23,12월,배성웅,,서울특별시
석경에이티,357550,기초 화학물질 제조업,바이오 및 전기전자 나노 소재,2020-12-23,12월,임형섭,http://www.sukgyung.com,경기도
지놈앤컴퍼니,314130,기초 의약물질 및 생물학적 제제 제조업,"마이크로바이옴 기반 치료제, 화장품, 건강기능식품",2020-12-23,12월,"배지수, 박한수, 서영진 (각자 대표이사)",http://genomecom.co.kr,경기도
프리시젼바이오,335810,의료용 기기 제조업,체외진단 기기 및 시약,2020-12-22,12월,김한신,http://precision-bio.com/,대전광역시
알체라,347860,소프트웨어 개발 및 공급업,"얼굴인식 AI, 이상상황 감지 AI 등",2020-12-21,12월,황영규,http://www.alchera.ai,경기도
하이딥,365590,반도체 제조업,UIUX Solution,2020-12-21,12월,고범규,http://www.hideep.com,경기도
에프앤가이드,064850,기타 정보 서비스업,"금융정보서비스, INDEX, 펀드평가 등",2020-12-17,12월,"김군호, 이철순",http://www.fnguide.com,서울특별시
에이치엠씨제5호스팩,353060,금융 지원 서비스업,합병을 유일한 사업목적으로 함,2020-12-16,12월,허인석,,서울특별시
티엘비,356860,전자부품 제조업,SSD Module / DRAM Module PCB,2020-12-14,12월,백성현,http://www.tlbpcb.com,경기도
인바이오,352940,"비료, 농약 및 살균, 살충제 제조업","살균제, 살충제, 제초제 등",2020-12-11,12월,이명재,http://enbio.co.kr,경기도
엔젠바이오,354200,"그외 기타 전문, 과학 및 기술 서비스업","유전체 분야 진단시약 제조 및 유전체 분야 소프트웨어 연구,개발,판매",2020-12-10,12월,최대출,http://ngenebio.com,서울특별시
DB금융스팩8호,367340,기타 금융업,기업인수 및 합병,2020-12-09,12월,홍창배,,서울특별시
퀀타매트릭스,317690,의료용 기기 제조업,신속항균제검사 장비 및 키트,2020-12-09,12월,권성훈,http://www.quantamatrix.com,서울특별시
클리노믹스,352770,의료용품 및 기타 의약 관련제품 제조업,"Geno Series, CD-PRIME, Cancer Prime",2020-12-04,12월,"정종태, 박종화(각자 대표이사)",http://www.clinomics.com,울산광역시
포인트모바일,318020,컴퓨터 및 주변장치 제조업,산업용 PDA,2020-12-03,12월,강삼권,http://pointmobile.com,서울특별시
앱코,129890,컴퓨터 및 주변장치 제조업,"게이밍기어, 뉴라이프가전 등",2020-12-02,12월,"오광근, 이태화 (각자대표)",http://www.abko.co.kr,서울특별시
엔에프씨,265740,기타 화학제품 제조업,화장품 원료 제조 및 판매,2020-12-02,12월,유우영,http://nfccosmetics.co.kr,인천광역시
제일전기공업,199820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","PCB Assay, 배선기구, 분전반 등",2020-11-26,12월,강동욱,http://www.cheilelec.com,부산광역시
하나기술,299030,특수 목적용 기계 제조업,이차전지 양산 자동화 설비 제조,2020-11-25,12월,오태봉,http://www.hn-tech.co.kr,경기도
티앤엘,340570,의료용품 및 기타 의약 관련제품 제조업,"창상치료재, 정형외과용 고정재",2020-11-20,12월,최윤소,http://www.tnl.co.kr/,경기도
고바이오랩,348150,자연과학 및 공학 연구개발업,마이크로바이옴 치료제 및 건강기능식품,2020-11-18,12월,고광표,http://kobiolabs.com,서울특별시
네패스아크,330860,"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트 서비스,2020-11-17,12월,"이창우, 이병구(각자 대표이사)",http://www.nepesark.co.kr,충청북도
소룩스,290690,전구 및 조명장치 제조업,"실내등(형광등, LED등), 실외등, 특수등",2020-11-06,12월,김복덕,http://www.solux.co.kr,충청남도
위드텍,348350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","AMCs 모니터링 시스템, 공정 프로세스 모니터링 시스템, TMS",2020-10-30,12월,"유승교,박현열(각자 대표이사)",http://www.withtech.co.kr,대전광역시
센코,347000,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","가스센서 및 모듈, 휴대용 및 고정형 가스검지기, 악취 & 미세먼지 모니터링 시스템",2020-10-29,12월,하승철,http://www.senko.co.kr,경기도
바이브컴퍼니,301300,소프트웨어 개발 및 공급업,"소셜 빅데이터 기반 인공지능 서비스 (소셜메트릭스), 문제 해결 솔루션 (AI Solver)",2020-10-28,12월,이재용,http://www.vaiv.kr,서울특별시
미코바이오메드,214610,의료용 기기 제조업,체외진단용 의료기기,2020-10-22,12월,김성우,http://www.micobiomed.com,경기도
