회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
지니뮤직,043610,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",디지털 음악 서비스 및 음원유통,2000-07-20,12월,Park Hyun Jin,http://www.geniemusic.co.kr,서울특별시
진성티이씨,036890,특수 목적용 기계 제조업,트랙롤라. 플로팅 씰,2000-07-20,12월,"윤성수, 윤준수(공동대표이사)",http://www.jinsungtec.com,경기도
현대에이치티,039010,통신 및 방송 장비 제조업,스마트홈 제조,2000-07-20,12월,이건구,http://www.hyundaiht.co.kr,서울특별시
삼아제약,009300,의약품 제조업,"노마에프, 아토크건조시럽, 코데날정, 코코시럽, 스마엘",2000-07-19,12월,허 준,http://www.samapharm.co.kr,강원도
파루,043200,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","온습도 조절기(에어쿨), 무인방제기(야호)",2000-07-19,12월,강문식,http://www.paru.co.kr,전라남도
에스씨디,042110,가정용 기기 제조업,전자렌지용 MOTOR 및 냉장고용 TIMER,2000-07-13,12월,오길호,http://www.sscd.co.kr,경기도
한국정보공학,039740,기타 전문 도매업,"그룹웨어, 자료관리시스템",2000-07-06,12월,유용석,http://www.kies.co.kr,경기도
디오,039840,의료용 기기 제조업,자동포장기계,2000-06-29,12월,김진백,http://dio.co.kr,부산광역시
네오위즈홀딩스,042420,소프트웨어 개발 및 공급업,지주사업,2000-06-27,12월,오승헌,http://www.neowiz.com,경기도
다산네트웍스,039560,통신 및 방송 장비 제조업,네트워크 통신장비,2000-06-22,12월,남민우,http://www.dasannetworks.com,경기도
바이오스마트,038460,전자부품 제조업,"M/S 카드제조업, IC 카드제조, 카드장비판매",2000-06-22,12월,윤호권,http://www.bio-smart.com,서울특별시
우리기술,032820,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","시스템사업, 정보통신사업",2000-06-22,12월,노갑선,http://www.wooritg.com,서울특별시
안국약품,001540,의약품 제조업,"그랑파제, 토비콤-S",2000-06-15,12월,원덕권,http://www.ahn-gook.com,서울특별시
골드퍼시픽,038530,생활용품 도매업,"주문형반도체, IMT-2000 Modem Chip 등",2000-06-09,12월,조정영,http://gold-pacific.com,경기도
세중,039310,여행사 및 기타 여행보조 서비스업,여행,2000-06-09,12월,"천세전,김기백",http://www.sejoong.com,서울특별시
우리기술투자,041190,기타 금융업,창업자에 대한 투자 및 융자,2000-06-09,12월,이정훈,http://www.wooricapital.co.kr,서울특별시
